//------- VATSIM SCANDINAVIA - POLARIS FIR - CDM TAXIZONES -------// 
//------- For permission to reuse, redistribute, or modify for use in other sector files, contact Magnus Rudjord or Adrian Bjerke. -------//
//------- DEICE ORDER IS ALPHA SOUTH, BRAVO NORTH, ALPHA NORTH, BR DEICE PAD, NOT DEFINED -------//

#ENGM
//Cargo
ENGM:01L:60.190439722222:11.082722222222:60.194106111111:11.08495:60.193621111111:11.087642777778:60.190017777778:11.085562222222:13:16,36,26,0,0
ENGM:19R:60.190439722222:11.082722222222:60.194106111111:11.08495:60.193621111111:11.087642777778:60.190017777778:11.085562222222:15:26,36,26,0,0
ENGM:19L:60.190439722222:11.082722222222:60.194106111111:11.08495:60.193621111111:11.087642777778:60.190017777778:11.085562222222:18:28,21,30,0,0
ENGM:01R:60.190439722222:11.082722222222:60.194106111111:11.08495:60.193621111111:11.087642777778:60.190017777778:11.085562222222:22:32,28,32,0,0
//Domestic South1
ENGM:01L:60.193995555556:11.085545277778:60.1963425:11.086863888889:60.19525:11.094138333333:60.192997777778:11.092537222222:11:14,32,18,0,0
ENGM:19R:60.193995555556:11.085545277778:60.1963425:11.086863888889:60.19525:11.094138333333:60.192997777778:11.092537222222:12:22,32,15,0,0
ENGM:19L:60.193995555556:11.085545277778:60.1963425:11.086863888889:60.19525:11.094138333333:60.192997777778:11.092537222222:16:28,19,30,0,0
ENGM:01R:60.193995555556:11.085545277778:60.1963425:11.086863888889:60.19525:11.094138333333:60.192997777778:11.092537222222:19:31,24,31,0,0
//Domestic North
ENGM:01L:60.195748611111:11.089943055556:60.196536666667:11.090273888889:60.195249722222:11.098949444444:60.194593333333:11.098468888889:11:14,32,18,0,0
ENGM:19R:60.195748611111:11.089943055556:60.196536666667:11.090273888889:60.195249722222:11.098949444444:60.194593333333:11.098468888889:11:21,31,14,0,0
ENGM:19L:60.195748611111:11.089943055556:60.196536666667:11.090273888889:60.195249722222:11.098949444444:60.194593333333:11.098468888889:12:36,15,25,0,0
ENGM:01R:60.195748611111:11.089943055556:60.196536666667:11.090273888889:60.195249722222:11.098949444444:60.194593333333:11.098468888889:18:40,25,25,0,0
//Pier North West
